"date","comment","link","likes"
"Feb 16, 2016","3","https://www.instagram.com/p/BB2NmbQo9_E/?taken-by=safirstores","152"
"Feb 15, 2016","10","https://www.instagram.com/p/BBzd8eMI92n/?taken-by=safirstores","168"
"Feb 14, 2016","12","https://www.instagram.com/p/BBxL9cjo97q/?taken-by=safirstores","195"
"Feb 13, 2016","8","https://www.instagram.com/p/BBuceaAI9z2/?taken-by=safirstores","183"
"Feb 11, 2016","2","https://www.instagram.com/p/BBnc4VFo90S/?taken-by=safirstores","155"
"Feb 11, 2016","2","https://www.instagram.com/p/BBnUNj_I9zW/?taken-by=safirstores","134"
"Feb 10, 2016","3","https://www.instagram.com/p/BBm28LPo920/?taken-by=safirstores","165"
"Feb 9, 2016","5","https://www.instagram.com/p/BBkLUfVo95u/?taken-by=safirstores","138"
"Feb 9, 2016","18","https://www.instagram.com/p/BBj3RJAo968/?taken-by=safirstores","165"
"Feb 8, 2016","15","https://www.instagram.com/p/BBhe2wTo94g/?taken-by=safirstores","134"
"Feb 8, 2016","4","https://www.instagram.com/p/BBhAeB6I9xe/?taken-by=safirstores","179"
"Feb 7, 2016","15","https://www.instagram.com/p/BBes-RWI92z/?taken-by=safirstores","141"
"Feb 6, 2016","3","https://www.instagram.com/p/BBb39srI9yx/?taken-by=safirstores","154"
"Feb 6, 2016","3","https://www.instagram.com/p/BBauUjmI9xP/?taken-by=safirstores","146"
"Feb 5, 2016","4","https://www.instagram.com/p/BBYDEwjo99U/?taken-by=safirstores","128"
"Feb 5, 2016","2","https://www.instagram.com/p/BBX4KLkI95z/?taken-by=safirstores","216"
"Feb 4, 2016","16","https://www.instagram.com/p/BBXpki6I99y/?taken-by=safirstores","291"
"Feb 4, 2016","4","https://www.instagram.com/p/BBXJj1Ao934/?taken-by=safirstores","210"
"Feb 4, 2016","9","https://www.instagram.com/p/BBWu0jXI93a/?taken-by=safirstores","145"
"Feb 3, 2016","0","https://www.instagram.com/p/BBVOLgvo95G/?taken-by=safirstores","145"
"Feb 3, 2016","47","https://www.instagram.com/p/BBUbsXVI9zu/?taken-by=safirstores","229"
"Feb 3, 2016","1","https://www.instagram.com/p/BBUL-X3o9yy/?taken-by=safirstores","147"
"Feb 3, 2016","9","https://www.instagram.com/p/BBSx0Roo96i/?taken-by=safirstores","222"
"Feb 2, 2016","5","https://www.instagram.com/p/BBSh8pHo94J/?taken-by=safirstores","141"
"Feb 2, 2016","10","https://www.instagram.com/p/BBSIV-Eo95D/?taken-by=safirstores","132"
"Feb 2, 2016","1","https://www.instagram.com/p/BBQL9z_I92S/?taken-by=safirstores","145"
"Feb 1, 2016","4","https://www.instagram.com/p/BBP-f5ho96F/?taken-by=safirstores","174"
"Feb 1, 2016","23","https://www.instagram.com/p/BBPV8J6I9yL/?taken-by=safirstores","197"
"Feb 1, 2016","0","https://www.instagram.com/p/BBPViyFI9xo/?taken-by=safirstores","139"
"Feb 1, 2016","2","https://www.instagram.com/p/BBPKOa2o9xw/?taken-by=safirstores","183"
"Jan 31, 2016","3","https://www.instagram.com/p/BBNZlDKo9wg/?taken-by=safirstores","149"
"Jan 31, 2016","17","https://www.instagram.com/p/BBMrImjo984/?taken-by=safirstores","187"
"Jan 30, 2016","8","https://www.instagram.com/p/BBK35XPI919/?taken-by=safirstores","111"
"Jan 30, 2016","19","https://www.instagram.com/p/BBKh9ejI9zX/?taken-by=safirstores","168"
"Jan 29, 2016","22","https://www.instagram.com/p/BBIMDCfo92J/?taken-by=safirstores","152"
"Jan 28, 2016","2","https://www.instagram.com/p/BBFlbw4o99Y/?taken-by=safirstores","129"
"Jan 28, 2016","19","https://www.instagram.com/p/BBFCslfo9yX/?taken-by=safirstores","205"
"Jan 28, 2016","10","https://www.instagram.com/p/BBE23arI9zf/?taken-by=safirstores","218"
"Jan 28, 2016","0","https://www.instagram.com/p/BBDYTivI97A/?taken-by=safirstores","127"
"Jan 27, 2016","5","https://www.instagram.com/p/BBC6NrLI9zT/?taken-by=safirstores","140"
"Jan 27, 2016","17","https://www.instagram.com/p/BBCiTJ6o98n/?taken-by=safirstores","141"
"Jan 27, 2016","4","https://www.instagram.com/p/BBCOB1vo90K/?taken-by=safirstores","131"
"Jan 26, 2016","9","https://www.instagram.com/p/BBAOpSuI998/?taken-by=safirstores","200"
"Jan 26, 2016","8","https://www.instagram.com/p/BA_gmdyI9yH/?taken-by=safirstores","157"
"Jan 25, 2016","3","https://www.instagram.com/p/BA9iV_TI99Q/?taken-by=safirstores","129"
"Jan 25, 2016","0","https://www.instagram.com/p/BA9PtbII9yW/?taken-by=safirstores","139"
"Jan 24, 2016","8","https://www.instagram.com/p/BA64KWBI93z/?taken-by=safirstores","206"
"Jan 24, 2016","7","https://www.instagram.com/p/BA6U6VYo9-e/?taken-by=safirstores","126"
"Jan 23, 2016","6","https://www.instagram.com/p/BA4QcZhI95h/?taken-by=safirstores","187"
"Jan 23, 2016","2","https://www.instagram.com/p/BA33YOko91e/?taken-by=safirstores","185"
"Jan 21, 2016","2","https://www.instagram.com/p/BAzsbZYo9z-/?taken-by=safirstores","182"
"Jan 21, 2016","13","https://www.instagram.com/p/BAy7MZ5o9zZ/?taken-by=safirstores","141"
"Jan 20, 2016","29","https://www.instagram.com/p/BAww_ZAo9wb/?taken-by=safirstores","194"
"Jan 19, 2016","3","https://www.instagram.com/p/BAt9sqOI96k/?taken-by=safirstores","253"
"Jan 17, 2016","8","https://www.instagram.com/p/BApDJk7I987/?taken-by=safirstores","174"
