United States;;A Dozen Roses 
Russia;http://alarusse.ru/;A La Russe 
United States;http://www.alabonfire.com/;A Lab on Fire 
United States;http://www.aperfumeorganic.com/;A Perfume Organic 
United States;https://www.etsy.com/shop/wingandprayerperfume?ref=l2-shopheader-name;A Wing & A Prayer Perfumes 
United States;;A.B.R. Barlach 
France;http://www.prestigeparfums.com/;A.P. Durand Parfums 
United Kingdom;http://www.abahna.co.uk/;Abahna 
Saudi Arabia;http://www.asqgrp.com/;Abdul Samad Al Qurashi 
United States;http://www.abercrombie.com/anf/index.html;Abercrombie & Fitch 
United States;http://www.abinoam.com/;Abinoam 
France;http://absolument.net/;Absolument Parfemeur 
Italy;http://www.accakappa.it/;Acca Kappa 
Italy;;Accendis 
United Kingdom;http://www.monsoon.co.uk/;Accessorize 
France;;Accord Parfait 
France;http://www.acorelle.com/;Acorelle 
Italy;http://www.acquadellelba.it/eng/;Acqua dell Elba 
Italy;http://acquadellelanghe.it/;Acqua Delle Langhe 
Italy;http://www.acquadibiella.it/index.html;Acqua di Biella 
Italy;http://www.acquadigenova.it/;Acqua di Genova 
Italy;http://www.acquadimontisola.com/;Acqua di Montisola 
Italy;http://www.fragrantica.com/designers/www.acquadiparma.com/;Acqua di Parma 
Italy;http://www.acquadiportofino.it/;Acqua di Portofino 
Italy;http://www.acqua-di-stresa.com/;Acqua di Stresa 
Italy;;Acqua Novara 
Italy;http://acquareale.hanorah.com/;Acqua Reale 
Italy;http://acquediitalia.hanorah.com/;Acque di Italia 
United States;http://adamlevine-fragrances.com/;Adam Levine 
Netherlands;http://www.addyvandenkrommenacker.nl/;Addy van den Krommenacker 
United States;http://www.global.adidas.com/;Adidas 
France;http://www.geparlys.com/;Adnan B. 
Spain;http://www.adolfodominguez.es/;Adolfo Dominguez 
France;http://www.reserve-naturelle.com/;Adopt` by Reserve Naturelle 
France;http://www.adrianakarembeu.fr/;Adriana Karembeu 
Canada;http://www.adrienarpel.com/;Adrien Arpel 
Italy;http://www.adriennevittadini.com/;Adrienne Vittadini 
United States;http://www.aedes.com/;Aedes de Venustas 
United States;http://www.aerin.com/;Aerin Lauder 
United States;http://www.fragrantica.com/designers/www.aeropostale.com/Fragrance;Aeropostale 
Australia;http://www.aesop.net.au/;Aesop 
United States;http://www.fragrantica.com/designers/www.etsy.com/shop/AetherArtsPerfume;AetherArtsPerfume 
France;http://www.affinessence.com/;Affinessence 
United States;http://sinfulclothing.com/;Affliction 
United Arab Emirates (UAE);http://www.afnanperfumes.com/index.php;Afnan Perfumes 
United States;http://www.aftelier.com/;Aftelier 
France;http://www.arabiafelix.com/;Agallocha 
Aruba;http://www.agatha.com/;Agatha 
Spain;http://www.agatharuizdelaprada.com/;Agatha Ruiz de la Prada 
United Kingdom;http://www.agentprovocateur.com/;Agent Provocateur 
