,Dow,Tod,SpeedLike
0,5.0,45785,28
1,5.0,46986,12
2,5.0,48186,10
3,5.0,49387,11
4,5.0,50587,7
5,5.0,51787,2
6,5.0,52988,11
7,5.0,54188,4
8,5.0,55388,7
9,5.0,56589,4
10,5.0,57789,3
11,5.0,58990,6
12,5.0,60190,2
13,5.0,61390,13
14,5.0,62591,1
15,5.0,63791,1
16,5.0,64992,3
17,5.0,66192,4
18,5.0,67392,2
19,5.0,68593,7
20,5.0,69793,1
21,5.0,70993,1
22,5.0,72194,3
23,5.0,73394,3
24,5.0,74595,1
25,5.0,75795,1
26,5.0,76995,0
27,5.0,78196,2
28,5.0,79397,1
29,5.0,80597,0
30,5.0,81797,1
31,5.0,82998,0
32,5.0,84198,0
33,5.0,85398,0
34,6.0,199,0
35,6.0,1399,0
36,6.0,2600,0
37,6.0,3800,0
38,6.0,5000,0
39,6.0,6201,0
40,6.0,7401,0
41,6.0,8601,0
42,6.0,9802,0
43,6.0,11002,0
44,6.0,12202,0
45,6.0,13403,0
46,6.0,14603,0
47,6.0,15804,0
48,6.0,17004,0
49,6.0,18204,0
50,6.0,19405,0
51,6.0,20605,0
52,6.0,21806,1
53,6.0,23006,0
54,6.0,24207,0
55,6.0,25407,0
56,6.0,26607,0
57,6.0,27808,0
58,6.0,29009,0
59,6.0,30209,1
60,6.0,31409,0
61,6.0,32609,1
62,6.0,33810,0
63,6.0,35010,1
64,6.0,36211,0
65,6.0,37411,0
66,6.0,38611,1
67,6.0,39812,0
68,6.0,41012,1
69,6.0,42212,1
70,6.0,43413,0
71,6.0,44613,0
72,6.0,45814,1
73,6.0,47014,0
74,6.0,48215,0
75,6.0,49415,0
76,6.0,50616,0
77,6.0,51816,0
78,6.0,53016,0
79,6.0,54217,0
80,6.0,55417,0
81,6.0,56617,0
82,6.0,57818,0
83,6.0,59018,1
84,6.0,60219,0
85,6.0,61419,0
86,6.0,62619,0
87,6.0,63820,0
88,6.0,65020,0
89,6.0,66221,0
90,6.0,67421,1
91,6.0,68622,1
92,6.0,69822,0
93,6.0,71022,0
94,6.0,72223,0
95,6.0,73423,0
96,6.0,74624,0
97,6.0,75824,0
98,6.0,77025,0
99,6.0,78225,0
100,6.0,79425,0
101,6.0,80626,2
102,6.0,81826,0
103,6.0,83026,1
104,6.0,84227,0
105,6.0,85427,0
106,0.0,227,0
107,0.0,1428,0
108,0.0,2628,0
109,0.0,3829,0
110,0.0,5029,0
111,0.0,6230,0
112,0.0,7430,0
113,0.0,8630,0
114,0.0,9831,0
115,0.0,11031,0
116,0.0,12232,0
117,0.0,13432,0
118,0.0,14632,0
119,0.0,15833,0
120,0.0,17033,0
121,0.0,18233,0
122,0.0,19434,0
123,0.0,20634,0
124,0.0,21834,0
125,0.0,23034,0
126,0.0,24235,0
127,0.0,25435,1
128,0.0,26636,0
129,0.0,27836,0
130,0.0,29036,0
131,0.0,30237,0
132,0.0,31437,0
133,0.0,32637,0
134,0.0,33838,0
135,0.0,35038,0
136,0.0,36238,0
137,0.0,37439,0
138,0.0,38639,0
139,0.0,39839,0
140,0.0,41040,0
141,0.0,42240,0
142,0.0,43440,0
143,0.0,44641,0
144,6.0,41012,8
145,6.0,42212,29
146,6.0,43413,19
147,6.0,44613,12
148,6.0,45814,8
149,6.0,47014,6
150,6.0,48215,10
151,6.0,49415,0
152,6.0,50616,1
153,6.0,51816,5
154,6.0,53016,2
155,6.0,54217,0
156,6.0,55417,0
157,6.0,56617,2
158,6.0,57818,4
159,6.0,59018,1
160,6.0,60219,5
161,6.0,61419,1
162,6.0,62619,1
163,6.0,63820,1
164,6.0,65020,2
165,6.0,66221,1
166,6.0,67421,1
167,6.0,68622,1
168,6.0,69822,2
169,6.0,71022,3
170,6.0,72223,1
171,6.0,73423,7
172,6.0,74624,0
173,6.0,75824,2
174,6.0,77025,0
175,6.0,78225,1
176,6.0,79425,0
177,6.0,80626,1
178,6.0,81826,2
179,6.0,83026,0
180,6.0,84227,0
181,6.0,85427,0
182,0.0,227,1
183,0.0,1428,0
184,0.0,2628,0
185,0.0,3829,0
186,0.0,5029,0
187,0.0,6230,0
188,0.0,7430,0
189,0.0,8630,0
190,0.0,9831,0
191,0.0,11031,0
192,0.0,12232,0
193,0.0,13432,0
194,0.0,14632,0
195,0.0,15833,0
196,0.0,17033,0
197,0.0,18233,0
198,0.0,19434,0
199,0.0,20634,0
200,0.0,21834,1
201,0.0,23034,0
202,0.0,24235,0
203,0.0,25435,1
204,0.0,26636,0
205,0.0,27836,0
206,0.0,29036,0
207,0.0,30237,0
208,0.0,31437,0
209,0.0,32637,0
210,0.0,33838,0
211,0.0,35038,0
212,0.0,36238,0
213,0.0,37439,0
214,0.0,38639,0
215,0.0,39839,1
216,0.0,41040,0
217,0.0,42240,1
218,0.0,43440,1
219,0.0,44641,0
220,0.0,45841,1
221,0.0,47041,0
222,0.0,48242,0
223,0.0,49442,0
224,0.0,50642,0
225,0.0,51843,0
226,0.0,53043,0
227,0.0,54244,0
228,0.0,55444,0
229,0.0,56644,0
230,0.0,57845,0
231,0.0,59045,0
232,0.0,60246,0
233,0.0,61446,0
234,0.0,62646,0
235,0.0,63848,0
236,0.0,65049,0
237,0.0,66249,0
238,0.0,67449,0
239,0.0,68650,0
240,0.0,69850,0
241,0.0,71051,0
242,0.0,72251,0
243,0.0,73452,0
244,0.0,74653,0
245,0.0,75853,0
246,0.0,77053,0
247,0.0,78254,0
248,0.0,79454,0
249,0.0,80655,0
250,0.0,81855,0
251,0.0,83056,0
252,0.0,84256,1
253,0.0,85456,1
254,1.0,257,0
255,1.0,1457,0
256,1.0,2658,0
257,1.0,3858,0
258,1.0,5059,0
259,1.0,6259,0
260,1.0,7460,0
261,1.0,8660,0
262,1.0,9860,0
263,1.0,11061,0
264,1.0,12261,0
265,1.0,13462,0
266,1.0,14662,0
267,1.0,15863,0
268,1.0,17063,0
269,1.0,18263,0
270,1.0,19464,1
271,1.0,20664,0
272,1.0,21864,0
273,1.0,23065,0
274,1.0,24266,0
275,1.0,25466,0
276,6.0,31409,26
277,6.0,32609,29
278,6.0,33810,13
279,6.0,35010,9
280,6.0,36211,5
281,6.0,37411,5
282,6.0,38611,7
283,6.0,39812,10
284,6.0,41012,5
285,6.0,42212,6
286,6.0,43413,5
287,6.0,44613,5
288,6.0,45814,0
289,6.0,47014,2
290,6.0,48215,3
291,6.0,49415,3
292,6.0,50616,1
293,6.0,51816,0
294,6.0,53016,2
295,6.0,54217,2
296,6.0,55417,0
297,6.0,56617,1
298,6.0,57818,0
299,6.0,59018,1
300,6.0,60219,1
301,6.0,61419,1
302,6.0,62619,0
303,6.0,63820,1
304,6.0,65020,2
305,6.0,66221,1
306,6.0,67421,2
307,6.0,68622,1
308,6.0,69822,2
309,6.0,71022,1
310,6.0,72223,1
311,6.0,73423,4
312,6.0,74624,1
313,6.0,75824,1
314,6.0,77025,2
315,6.0,78225,1
316,6.0,79425,0
317,6.0,80626,2
318,6.0,81826,2
319,6.0,83026,0
320,6.0,84227,0
321,6.0,85427,0
322,0.0,227,1
323,0.0,1428,0
324,0.0,2628,0
325,0.0,3829,0
326,0.0,5029,0
327,0.0,6230,0
328,0.0,7430,0
329,0.0,8630,0
330,0.0,9831,0
331,0.0,11031,0
332,0.0,12232,0
333,0.0,13432,0
334,0.0,14632,0
335,0.0,15833,0
336,0.0,17033,0
337,0.0,18233,0
338,0.0,19434,0
339,0.0,20634,0
340,0.0,21834,1
341,0.0,23034,0
342,0.0,24235,0
343,0.0,25435,1
344,0.0,26636,1
345,0.0,27836,0
346,0.0,29036,0
347,0.0,30237,0
348,0.0,31437,0
349,0.0,32637,0
350,0.0,33838,0
351,0.0,35038,0
352,0.0,36238,0
353,0.0,37439,1
354,0.0,38639,0
355,0.0,39839,1
356,0.0,41040,0
357,0.0,42240,0
358,0.0,43440,0
359,0.0,44641,0
360,0.0,45841,0
361,0.0,47041,0
362,0.0,48242,0
363,0.0,49442,0
364,0.0,50642,0
365,0.0,51843,0
366,0.0,53043,0
367,0.0,54244,0
368,0.0,55444,0
369,0.0,56644,0
370,0.0,57845,0
371,0.0,59045,0
372,0.0,60246,1
373,0.0,61446,0
374,0.0,62646,1
375,0.0,63848,0
376,0.0,65049,0
377,0.0,66249,0
378,0.0,67449,0
379,0.0,68650,0
380,0.0,69850,0
381,0.0,71051,0
382,0.0,72251,0
383,0.0,73452,0
384,0.0,74653,0
385,0.0,75853,0
386,0.0,77053,0
387,0.0,78254,0
388,0.0,79454,0
389,0.0,80655,0
390,0.0,81855,0
391,0.0,83056,0
392,0.0,84256,0
393,0.0,85456,0
394,1.0,257,1
395,1.0,1457,0
396,1.0,2658,0
397,1.0,3858,0
398,1.0,5059,0
399,1.0,6259,0
400,1.0,7460,0
401,1.0,8660,0
402,1.0,9860,0
403,1.0,11061,0
404,1.0,12261,0
405,1.0,13462,0
406,1.0,14662,0
407,1.0,15863,1
408,1.0,17063,0
409,1.0,18263,0
410,1.0,19464,1
411,1.0,20664,0
412,1.0,21864,0
413,1.0,23065,0
414,1.0,24266,0
415,1.0,25466,0
416,0.0,27836,33
417,0.0,29036,14
418,0.0,30237,16
419,0.0,31437,14
420,0.0,32637,7
421,0.0,33838,9
422,0.0,35038,4
423,0.0,36238,5
424,0.0,37439,8
425,0.0,38639,5
426,0.0,39839,7
427,0.0,41040,3
428,0.0,42240,5
429,0.0,43440,5
430,0.0,44641,0
431,0.0,45841,3
432,0.0,47041,0
433,0.0,48242,3
434,0.0,49442,2
435,0.0,50642,2
436,0.0,51843,1
437,0.0,53043,0
438,0.0,54244,3
439,0.0,55444,2
440,0.0,56644,0
441,0.0,57845,1
442,0.0,59045,1
443,0.0,60246,1
444,0.0,61446,0
445,0.0,62646,1
446,0.0,63848,0
447,0.0,65049,1
448,0.0,66249,1
449,0.0,67449,1
450,0.0,68650,0
451,0.0,69850,0
452,0.0,71051,1
453,0.0,72251,1
454,0.0,73452,2
455,0.0,74653,1
456,0.0,75853,1
457,0.0,77053,2
458,0.0,78254,1
459,0.0,79454,1
460,0.0,80655,0
461,0.0,81855,0
462,0.0,83056,1
463,0.0,84256,0
464,0.0,85456,0
465,1.0,257,0
466,1.0,1457,1
467,1.0,2658,1
468,1.0,3858,0
469,1.0,5059,0
470,1.0,6259,1
471,1.0,7460,0
472,1.0,8660,0
473,1.0,9860,0
474,1.0,11061,0
475,1.0,12261,0
476,1.0,13462,0
477,1.0,14662,0
478,1.0,15863,0
479,1.0,17063,0
480,1.0,18263,0
481,1.0,19464,0
482,1.0,20664,0
483,1.0,21864,0
484,1.0,23065,0
485,1.0,24266,0
486,1.0,25466,1
487,0.0,35038,10
488,0.0,36238,37
489,0.0,37439,22
490,0.0,38639,13
491,0.0,39839,3
492,0.0,41040,6
493,0.0,42240,3
494,0.0,43440,7
495,0.0,44641,1
496,0.0,45841,5
497,0.0,47041,3
498,0.0,48242,1
499,0.0,49442,2
500,0.0,50642,3
501,0.0,51843,4
502,0.0,53043,0
503,0.0,54244,9
504,0.0,55444,2
505,0.0,56644,1
506,0.0,57845,3
507,0.0,59045,1
508,0.0,60246,2
509,0.0,61446,1
510,0.0,62646,0
511,0.0,63848,1
512,0.0,65049,2
513,0.0,66249,1
514,0.0,67449,0
515,0.0,68650,0
516,0.0,69850,0
517,0.0,71051,2
518,0.0,72251,1
519,0.0,73452,2
520,0.0,74653,1
521,0.0,75853,2
522,0.0,77053,2
523,0.0,78254,0
524,0.0,79454,1
525,0.0,80655,0
526,0.0,81855,0
527,0.0,83056,2
528,0.0,84256,0
529,0.0,85456,0
530,1.0,257,0
531,1.0,1457,1
532,1.0,2658,1
533,1.0,3858,1
534,1.0,5059,0
535,1.0,6259,1
536,1.0,7460,0
537,1.0,8660,0
538,1.0,9860,0
539,1.0,11061,0
540,1.0,12261,0
541,1.0,13462,0
542,1.0,14662,0
543,1.0,15863,0
544,1.0,17063,0
545,1.0,18263,0
546,1.0,19464,0
547,1.0,20664,0
548,1.0,21864,0
549,1.0,23065,0
550,1.0,24266,0
551,1.0,25466,0
552,0.0,57845,27
553,0.0,59045,14
554,0.0,60246,8
555,0.0,61446,6
556,0.0,62646,6
557,0.0,63848,6
558,0.0,65049,4
559,0.0,66249,3
560,0.0,67449,1
561,0.0,68650,3
562,0.0,69850,5
563,0.0,71051,3
564,0.0,72251,2
565,0.0,73452,7
566,0.0,74653,1
567,0.0,75853,3
568,0.0,77053,3
569,0.0,78254,2
570,0.0,79454,1
571,0.0,80655,1
